a	e i
Sedan	s e d a n
Sedgwick	s e d i w i k
Sedley	s e d l l i
Sedona	s e d o n a
Seebert	s i b ʌ t
Seehorn	s i h o n
Seekonk	s i k o ŋ k
seesaw	s i s o
segment	s e g m ʌ n t
Seguin	s e g w i n
Segundo	s e g u n d o
Seibert	s e i b ʌ t
Seif	s i p
Seiling	s e i l l i ŋ
Selah	s e l l a
Selby	s e l b i
Selbyville	s e l b i b i l
Selden	s e l d n
Seldovia	s e l d o b i a
self	s e l p
selfi	s e l p i
Selfridge	s e l p l i d i
Seligman	s e l l i g m ʌ n
Selkirk	s e l k ʌ k
Sellers	s e l l ʌ s
Selma	s e l m a
Selman	s e l m ʌ n
Selmer	s e l m ʌ
Selwin	s e l w i n
semaphore	s e m a p o
seminar	s e m i n a
Seminole	s e m i n o l
Semmes	s ɛ m s
Senatobia	s e n a t o b i a
send	s ɛ n d
Seneca	s e n e k a
Senegal	s e n e g a l
Senoia	s e n o i ʌ
sensation	s e n s e i s j ʌ n
sense	s e n s
sensor	s e n s ʌ
Sentinel	s e n t i n e l
Senyah	s e n j a
seoul	s ʌ u l
Sepo	s e p o
sequence	s i k w ʌ n s
Sequim	s e k i m
sequoia	s e k w ʌ i a
Serbia	s e l b i a
Serena	s e l e n a
serenade	s e l e n a d e
serial	s i l i ʌ l
series	s i l i d
serve	s ʌ b
server	s ʌ b ʌ
Servia	s e l b i a
service	s ʌ b i s
serviceman	s ʌ b i s m ɛ n
Sesser	s e s ʌ
set	s e t
setback	s e t p ɛ k
Seth	s e s
Sevastopol	s e b a s t o p o l
seven	s e b n
Severance	s e b l a n s
Severn	s e b ʌ n
Severy	s e b ʌ l i
Sevier	s i b i ʌ
Seville	s e b i l
Sewal	s u ʌ l
Seward	s u ʌ d
sexy	s e k s i
Seyberts	s i b ʌ t
Seychelles	s e i s j e l
Seymour	s i m o ʌ
Shade	s j e i d
shadow	s j ɛ d o
Shady	s j e i d i
Shafer	s j ɛ p ʌ
shaft	s j a p t
Shafter	s j ɛ p t ʌ
Shaftsbury	s ɛ p t b e l i
Shakopee	s j ɛ k o p i
Shalimar	s j a l l i m a
Shallotte	s j a l l ʌ t
Shambaugh	s j ɛ m b o u
shampoo	s j a m p u
Shamrock	s j ɛ m n o k
Shandaken	s j ɛ n d ʌ k n
Shandon	s j ɛ n d ʌ n
Shanghai	s a ŋ h a i
shank	s j ɛ ŋ k
Shanks	s ɛ ŋ k s
Shannon	s j ɛ n ʌ n
Shapleigh	s j a p l i
share	s w e ʌ
shareware	s j e ʌ w e ʌ
shark	s j a k
Sharon	s j a l o n
Sharonville	s j ɛ l o n b i l
sharp	s j a p
Sharpe	s j a p
Sharples	s j a p l l e s
Sharps	s j a p s
Sharpsburg	s j a p s b ʌ g
Sharptown	s j a p t a u n
Shattuck	s j ɛ t ʌ k
Shauck	s j o k
shaving	s e i b i ŋ
Shaw	s j o
Shawangunk	s j a w a n g ʌ ŋ k
Shawano	s j a w a n o
Shawinigan	s j ʌ w i n i g ʌ n
shawl	s j o l
Shawnee	s j o n i
Shawtown	s j o t a u n
Sheboygan	s j e b o i g ʌ n
Shedd	s j e d
sheet	s i t
Sheffield	s j e p i l d
Shelburne	s j e l b ʌ n
Shelby	s j e l b i
Shelbyville	s j e l b i b i l
Sheldon	s j e l d ʌ n
Shelley	s j e l l i
Shellman	s j e l m a n
Shelly	s j e l l i
Shelton	s j e l t ʌ n
Shenandoah	s j e n ʌ n d o ʌ
Shepherd	s j e p ʌ d
Shepherdsville	s j e p ʌ d b i l
Shepley	s j ʌ p l l i
sherbet	s j ʌ b ʌ t
Sherborn	s j ʌ b ʌ n
Sherbrooke	s j ʌ b l u k
Sheridan	s j e l i d n
sheriff	s j e l i p
Sherman	s j ʌ m ʌ n
Sherrill	s j e l i l
Sherry	s j e l i
Sherwood	s j ʌ u d
Sheyenne	s j a i e n
shield	s w i l d
Shields	s w i l d
Shiloh	s j a i l l o
shim	s i m
shinbiro	s i n b i l o
Shindler	s i n d l l ʌ
Shiner	s j a i n ʌ
Shipman	s i m m ɛ n
Shipshewana	s i p s j e w a n a
SHIRAHAMA	s i l a h a m a
Shiraz	s i l a d
Shirley	s j ʌ l l i
Shiro	s i l o
shirt	s j ʌ t
shirts	s j ʌ t
Shishmaref	s i s w i m a l e p
Shively	s j a i b l l i
Shizuoka	s i d o k a
Shoals	s j o l s
shock	s j o k
shocking	s j o k i ŋ
shockwave	s j o k w e i b
shoe	s j u
shoes	s j u d
Shonai	s j o n a i
Shook	s j u k
shooting	s j u t i ŋ
shop	s j o p
shopping	s j o p i ŋ
Shoreham	s j o ʌ h ɛ m
Shoreline	s j o ʌ l a i n
Shoreview	s j o ʌ b j u
Shorewood	s j o ʌ u d
short	s j o t
Shorter	s j o t ʌ
Shoshone	s j o s j o n i
Shoshoni	s j o s j o n i
Shoup	s j u p
show	s j o
shower	s j a w ʌ
showwindow	s j o w ʌ n d o
Shreveport	s j u l i b p o t
Shrewsbury	s j u l u d b e l i
shrub	s j u l ʌ b
shuba	s j u b a
shutdown	s j ʌ t t a u n
shutter	s j ʌ t ʌ
shuttle	s j ʌ t l
shuttlecock	s j ʌ t l k o k
Siam	s i a m
Siberia	s i b e l i a
Sibley	s i b l l i
SIBOLGA	s i b o l g a
Sicily	s i s i l l i
side	s a i d
Sidney	s i d n i
Sierraville	s i e l a b i l
Sigel	s i g l
sign	s a i n
signal	s i g n ʌ l
Sigourney	s i g ʌ n i
Sigurd	s i g u l d
Sikeston	s a i k s t ʌ n
Silas	s a i l l ʌ s
Siler	s i l l ʌ
Silica	s i l l i k a
silicone	s i l l i k o n
silk	s i l k
Silo	s i l l o
Siloam	s i l l o a m
Silva	s i l b a
silver	s i l b ʌ
Silver	s i l b ʌ
Silverdale	s i l b ʌ d e i l
Silverthorne	s i l b ʌ t l o n
Silverton	s i l b ʌ t ʌ n
Silvis	s i l b i s
Simcity	s i m s i t i
Simcoe	s i m k o
Simferopol	s i m p e l o p o l
Simla	s i m n a
simmani	s i m m a n i
Simmesport	s i m e s p o t
Simmonsville	s a i m ʌ n s b i l
Simms	s i m s
Simoda	s i m o d a
Simon	s a i m ʌ n
Simonton	s a i m ʌ n t ʌ n
simple	s i m p l
Simpson	s i m s n
Simpsons	s i m s n d
Simpsonville	s i m s n b i l
Simputer	s i m p j u t ʌ
sims	s i m d
Sims	s i m d
Simsbury	s i m s b e l i
simulation	s i m u l l e i s j ʌ n
simulator	s i m j u l l e i t ʌ
Sinai	s i n a i
Sinclair	s i ŋ k l l e ʌ
Singapore	s i ŋ g a p o l
singer	s i ŋ ʌ
Singer	s i ŋ ʌ
single	s i ŋ g l
sink	s i ŋ k
Sinop	s i n o p
Sip	s i p
Sipsey	s i p t e i
siren	s a i l e n
siri	s i l i
Sirnak	s i l n a k
Sisquoc	s i s k
Sisters	s i s t ʌ s
sitcom	s i t k o m
site	s a i t
Sites	s a i t
Sitka	s i t k a
Sivas	s i b a s
six	s i k s
Six	s i k s
Sixes	s i k s e s
Sixteen	s i k s t i n
size	s a i d
Skagway	s k ɛ g w e i
Skamania	s k a m a n i a
Skaneateles	s k ɛ n i t l l i s
skate	s k e i t
skech	s k e t i
Skelton	s k e l t ʌ n
Skene	s k i n
ski	s k i
Skiatook	s k i a t u k
Skidmore	s k i d m o ʌ
Skillman	s k i l m ʌ n
skin	s k i n
Skippers	s k i p ʌ s
skirt	s k ʌ t
Skopje	s k o p e
Skowhegan	s k o h i g ʌ n
skunk	s k ʌ ŋ k
sky	s k a i
Skyforest	s k a i p o l e s t
Skyland	s k a i l ɛ n d
Skyline	s k a i l a i n
skype	s k a i p
SkyView	s k a i b j u
slab	s l l a b
Slade	s l l e i d
Slanesville	s l l e i n s b i l
Slater	s l l e i t ʌ
Slaughter	s l l ʌ t ʌ
Slaughters	s l l ʌ t ʌ s
Slaughterville	s l l ʌ t ʌ b i l
Sledge	s l l e d i
Sleeper	s l l i p ʌ
Sleeth	s l l i s
Slick	s l l i k
slide	s l l a i d
Slidell	s l l a i d e l
slider	s l l a i d
sliding	s l l a i d i ŋ
Sligo	s l l a i g o
Slim	s l l i m
slipper	s l l i p ʌ
Sloan	s l l o n
Sloat	s l l o t
Slocomb	s l l o k o m
Slocum	s l l u k u m
slogan	s l l o g ʌ n
Slovakia	s l l o b a k i a
Slovenia	s l l o b e n i a
slow	s l l o u
slump	s l l ʌ m p
Smarr	s m a
smart	s m a t
Smart	s m a t
smartphone	s m a t p o n
Smartsburg	s m a t b ʌ g
Smartsville	s m a t b i l
Smedley	s m e d l l i
Smelser	s m e l s ʌ
Smeltertown	s m e l t ʌ t a u n
smile	s m a i l
Smiley	s m a i l l i
Smith	s m i s
Smithburg	s m i s b ʌ g
Smithfield	s m i s p i l d
Smithsburg	s m i s b ʌ g
Smithton	s m i s t ʌ n
Smithtown	s m i s t a u n
Smithville	s m i s b i l
Smithwick	s m i s w i k
smog	s m o g
smoking	s m o k i ŋ
smoth	s m u s
smurfing	s m ʌ p i ŋ
Smyrna	s m ʌ n a
snack	s n ɛ k
snapchat	s n ɛ p t ɛ t
Snead	s n i d
Sneads	s n i d
Sneedville	s n i d b i l
Snell	s n e l
Snelling	s n e l l i ŋ
Snellville	s n e l b i l
Sniffer	s n i p ʌ
Snipe	s n a i p
Snohomish	s n o h o m i s i
Snook	s n u k
Snoqualmie	s n o k w ʌ l m i
Snowdoun	s n o u d ʌ n
Snowflake	s n o p l l e i k
Snowmass	s n o u m ɛ s
Snowshoe	s n o u s j u
Snowville	s n o u b i l
Snyder	s n a i d ʌ
Sobieski	s o b i e s k i
Sochi	s o t i
social	s o s j ʌ l
socket	s o k e t
socks	s a k s
Socorro	s o k o l o
Sod	s o d
soda	s o d a
Sodus	s o d ʌ s
sofa	s o p a
Sofia	s o p i a
soft	s o p t
software	s o p t w e ʌ
softwarer	s o p t w e ʌ
Soldier	s o l d ʌ
Soldotna	s o l d o t n a
Soledad	s o l l e d a d
Solen	s o l l n
Solgohachia	s o l g u h ɛ t i
Solitude	s o l l i t j u d
Sollitt	s o l l i t
solo	s o l l o
Solo	s o l l o
Solomon	s o l l o m o n
Solon	s o l l o n
solution	s o l l u s j ʌ n
Solvang	s o l b ɛ ŋ
solve	s o l b
Solway	s o l w e i
Somalia	s o m a l l i a
Some	s ʌ m
Somerdale	s o m ʌ d e i l
Somers	s o m ʌ d
Somerset	s ʌ m ʌ s i t
Somersville	s o m ʌ s b i l
Somersworth	s o m ʌ s w ʌ s
Somerton	s ʌ m ʌ t ʌ n
Somerville	s o m ʌ b i l
sometime	s ʌ m t a i m
Somis	s o m i s
Somo	s o m o
sonata	s o n a t a
song	s o ŋ
Sonoma	s o n o m a
Sonora	s o n o l a
sony	s o n i
Soper	s o p ʌ
sophia	s o p i a
Sophia	s o p i a
soprano	s o p l a n o
Sopris	s o p l i s
Sorenson	s o l e n s n
soribada	s o l i b a d a
Sorrento	s o l e n t o
Soudan	s u d ʌ n
Souder	s a u d ʌ
sound	s a u n d
soundcloud	s a u n d k l l a u d
soup	s u p
Souris	s u l i
south	s a u s
Southampton	s a u s h ɛ m p t ʌ n
Southard	s a u s a d
Southaven	s a u s e i b n
Southborough	s a u s b ʌ l ʌ
Southbridge	s a u s b l i d i
Southbury	s a u s b e l i
Southfield	s a u s p i l d
Southgate	s a u s g e i t
Southington	s a u d i ŋ t ʌ n
Southlake	s a u s l e i k
Southland	s a u s l ɛ n d
Southold	s a u s o l d
Southport	s a u s p o t
Southside	s a u s s a i d
Southwest	s a u s w e s t
Southwick	s a u s w i k
space	s p e i s
spade	s p e i d
Spafford	s p ɛ p o d
spaghetti	s p a g e t i
Spain	s p e i n
Spalding	s p a l d i ŋ
Spangle	s p l ɛ ŋ g l
Sparkman	s p a k m ɛ n
Sparks	s p a k s
Sparta	s p a l t a
Spartanburg	s p a t ʌ n b ʌ g
Spaulding	s p o l d i ŋ
speaker	s p i k ʌ
Spearfish	s p i ʌ p i s i
Spearman	s p i ʌ m ʌ n
special	s p e s j ʌ l
specialist	s p e s j ʌ l l i s t
speech	s p i t i
speed	s p i d
Speed	s p i d
Speedway	s p i d w e i
Speedwell	s p i d w e l
Speer	s p i ʌ
Spencer	s p e n s ʌ
Spencerville	s p e n s ʌ b i l
Sperry	s p e l i
sphinx	s p i ŋ k s
Spiceland	s p a i s l ɛ n d
Spicer	s p a i s ʌ
Spickard	s p i k a d
spike	s p a i k
Spillville	s p i l b i l
Spirit	s p i l i t
Spiro	s p a i l o
Spivey	s p i b i
Splendora	s p l l e n d o l a
Split	s p l l i t
splogger	s p l l o g ʌ
Splunge	s p l l ʌ n d i
Spofford	s p o p ʌ d
spoiler	s p o i l l ʌ
Spokane	s p o k e i n
sponge	s p o n d i
sponser	s p o n s ʌ
spoon	s p u n
Spooner	s p u n ʌ
sports	s p o t
sportsman	s p o t m ɛ n
Spot	s p o t
spotlight	s p o t l a i t
Spotsylvania	s p o t i l b e i n i a
Spottsville	s p o t b i l
Sprague	s p l e i g
spray	s p l e i
spring	s p l i ŋ
Springboro	s p l i ŋ b ʌ l ʌ
Springbrook	s p l i ŋ b l u k
Springdale	s p l i ŋ d e i l
Springfield	s p l i ŋ p i l d
Springhill	s p l i ŋ h i l
Springhills	s p l i ŋ h i l s
Springport	s p l i ŋ p o t
Springs	s p l i ŋ s
Springside	s p l i ŋ s a i d
Springtown	s p l i ŋ t a u n
Springvale	s p l i ŋ b e i l
Springview	s p l i ŋ b j u
Springville	s p l i ŋ b i l
Springwater	s p l i ŋ w ʌ t ʌ
Springwood	s p l i ŋ u d
Sprott	s p l a t
Spruce	s p l u s
Spuds	s p ʌ d
spuit	s p o i t
Spurgeon	s p ʌ d ʌ n
spy	s p a i
spyware	s p a i w e ʌ
Squamish	s k w ʌ m i s i
squash	s k w ʌ s i
Squire	s k w a i ʌ
Squirrel	s k w ʌ l ʌ l
SSD	e s e s d i
Stabler	s t e i b l l ʌ
stack	s t ɛ k
stacker	s t ɛ k ʌ
Stacy	s t e i s i
stadium	s t a d i u m
staff	s t ɛ p
Stafford	s t ɛ p ʌ d
stage	s t e i d i
Stagecoach	s t e i d i k o t i
stain	s t e i n
stainless	s t e i l l e s
Staley	s t e i l l i
Stallings	s t o l l i ŋ s
Stallo	s t a l l o
Stamford	s t ɛ m p ʌ d
stamp	s t ɛ m p
Stamps	s t ɛ m s
stand	s t ɛ n d
standard	s t ɛ n d a d
standbar	s t ɛ n d b a
standing	s t ɛ n d i ŋ
Standish	s t ɛ n d i s w i
Stanfield	s t ɛ n p i l d
Stanford	s t ɛ n p ʌ d
Stanhope	s t ɛ n h o p
Stanley	s t e l l i
Stanleyville	s t ɛ l l i b i l
Stano	s t e i n o
Stanton	s t ɛ n t ʌ n
Stanwood	s t ɛ n u d
Staples	s t e i p l s
Stapleton	s t e i p l t ʌ n
star	s t a
Starbuck	s t a b ʌ k
starcraft	s t a k l ɛ p t
Stark	s t a k
Starke	s t a k i
Starkey	s t a k i
Starks	s t a k s
Starkville	s t a k b i l
Starkweather	s t a k w e d ʌ
Starlight	s t a l a i t
start	s t a t
Start	s t a t
state	s t e i t
Staten	s t e i t n
Statesboro	s t e i t b ʌ l o
Statesville	s t e i t b i l
Statham	s t e s ʌ m
station	s t e i s j ʌ n
Staunton	s t o n t n
Stavanger	s t a b a ŋ g e l
Stavropol	s t l a b l o p o l
Stead	s t e d
steak	s t e i k
steam	s t i m
Steamboat	s t i m b o t
Stearns	s t ʌ n s
Stebbins	s t e b i n s
Stedman	s t e d m ɛ n
Steeds	s t i d
steel	s t i l
Steele	s t i l
Steen	s t i n
Steering	s t i ʌ l i ŋ
Steilacoom	s t e i l l a k u m
Steiner	s t a i n ʌ
Steinthal	s j u t a i n t a l
Stella	s t e l l a
Stem	s t e m
Stendal	s t e n d a l
step	s t e p
Stephan	s j u t e p a n
Stephen	s t i b n
Stephens	s t i b n s
Stephenson	s t i b n s n
Stephentown	s t i b n t a u n
Stephenville	s t i b n b i l
Steptoe	s t e p t o
Sterling	s t ʌ l l i ŋ
Stet	s t e t
Stetson	s t e t s n
Stettin	s t e t i n
Steuben	s t j u b e n
Steubenville	s j u t o i b e n b i l
Stevens	s t i b n s
Stevensburg	s t i b n s b ʌ g
Stevenson	s t i b n s n
Stevensville	s t i b n s b i l
Stevinson	s t i b i n s n
stewardess	s t j u ʌ d i s
Stewart	s t j u ʌ t
Stewartsville	s t j u ʌ t b i l
Stewartville	s t j u ʌ t b i l
stick	s t i k
sticker	s t i k ʌ
Stickney	s t i k n i
Stigler	s t i k l l ʌ
Stikine	s t i k i n
Stiles	s t i l s
Stillwater	s t i l w ʌ t ʌ
Stillwell	s t i l w e l
Stilwell	s t i l w e l
Stinnett	s t i n n e t
Stinson	s t i n s n
Stirling	s t ʌ l l i ŋ
Stitzer	s t i t ʌ
Stochastic	s t o k ɛ s t i k
stock	s t o k
Stockbridge	s t o k p l i d i
Stockdaily	s t a k t e i l l i
Stockdale	s t o k t e i l
Stockholm	s t o k o l l m
stocking	s t a k i ŋ
Stockport	s t o k p o t
stocks	s t o k
Stockton	s t o k t ʌ n
Stockwell	s t o g w e l
Stoddard	s t o d a d
Stokes	s t o k s
Stoneburg	s t o n b ʌ g
Stoneville	s t o n b i l
Stonewall	s t o n w ʌ l
Stonewood	s t o n u d
Stoney	s t o n i
Stonington	s t o n i ŋ t ʌ n
stop	s t o p
Stopover	s t a b o b ʌ
storage	s t o l i d i
store	s t o ʌ
story	s t o l i
Story	s t o l i
Stoughton	s t o t ʌ n
Stout	s t a u t
Stovall	s t o b ʌ l
Stover	s t o b ʌ
Stow	s t o u
Stowe	s t o w i
Strafford	s t l ɛ p ʌ d
Strandquist	s t ɛ n d k w i s t
Strang	s t l ɛ ŋ
Strasburg	s t l a s b ʌ g
Stratford	s t l ɛ t p ʌ d
Stratham	s t l ɛ s ɛ m
Strathcona	s t l ɛ s k o n a
Stratton	s t l ɛ t ʌ n
straw	s t l o
Strawberry	s t l o b e l i
Strayhorn	s t l e i h o n
streaming	s t l i m i ŋ
Streator	s t l i t ʌ
Street	s t l i t
Streeter	s t l i t ʌ
Streetsboro	s t l i t b ʌ l ʌ
stress	s t l e s
Strickland	s t l i ŋ n ɛ n d
Stringer	s t l i ŋ ʌ
Stroh	s t l o
Strong	s t l o ŋ
Stronghold	s t l o ŋ h o l d
Strongsville	s t l o ŋ s b i l
Stroud	s t l a u d
Stroudsburg	s t l a u d b ʌ g
Struble	s t l u b l
Struthers	s t l ʌ s ʌ s
Stuart	s t j u ʌ t
stub	s t ʌ p
Stuckey	s t ʌ k i
studio	s t j u d i o
study	s t ʌ d i
Stull	s t ʌ l
Stumptown	s t ʌ m p t a u n
Sturbridge	s t ʌ b l i d i
Sturdivant	s t ʌ d i b ʌ n t
Sturgeon	s t ʌ d ʌ n
Sturgis	s t ʌ d i s
Stuttgart	s j u t t g a l t
Stuyvesant	s t j u i b ʌ s ʌ n t
style	s t a i l
styleshare	s t a i l s w e ʌ
stylus	s t a i l l ʌ s
Subiaco	s u b i a k o
Sublett	s ʌ b l l e t
Sublette	s ʌ b l l e t
subnet	s ʌ b n e t
subroutine	s ʌ b l u t i n
subway	s ʌ b w e i
Success	s ʌ k s e s
Sudan	s u d a n
Sudbury	s ʌ d b e l i
Sudith	s u d i s
Sudley	s ʌ d l l i
Suffield	s ʌ p p i l d
Sugarloaf	s j u g a l o p
Sugartown	s j u g a t a u n
Sugden	s ʌ k t n
suit	s u t
Sullivan	s ʌ l l i b ʌ n
Sully	s ʌ l l i
Sulphur	s ʌ l p ʌ
Sultan	s u l t a n
sumac	s u m a k
Sumas	s u m a s
Sumatra	s u m a t l a
summer	s ʌ m ʌ
Summerdale	s ʌ m ʌ d e i l
Summerfield	s ʌ m m ʌ p i l d
Summerford	s ʌ m m ʌ p o d
Summers	s ʌ m ʌ s
Summerset	s ʌ m ʌ s i t
Summersville	s ʌ m m ʌ s b i l
Summertown	s ʌ m ʌ t a u n
Summerville	s ʌ m m ʌ b i l
Summit	s ʌ m i t
Summitville	s ʌ m i t p i l
Summum	s ʌ m m ʌ m
Sumner	s ʌ m n ʌ
Sumterville	s ʌ m t ʌ b i l
sun	s ʌ n
Sunapee	s ʌ n a p i
Sunburst	s ʌ n b ʌ s t
Sunbury	s ʌ n b ʌ l i
Suncadia	s ʌ n k a d i a
Suncrest	s ʌ n k l e s t
Sundance	s ʌ n d ɛ n s
Sunderland	s ʌ n d ʌ l l ɛ n d
Sundown	s ʌ n d a u n
Sunfish	s ʌ n p i s w i
Sunflower	s ʌ n p l l a w ʌ
sunglass	s ʌ n g l l a s
sunglasses	s ʌ n g l l a s
Sungwoo	s ʌ ŋ u
Sunman	s ʌ n m ɛ n
Sunnydale	s ʌ n i d e i l
Sunnyside	s ʌ n i s a i d
Sunnyvale	s ʌ n i b e i l
Sunray	s ʌ l l e i
sunrise	s ʌ l l a i d
Sunrise	s ʌ l l a i d
Sunriver	s ʌ l l i b ʌ
Sunset	s ʌ n s e t
Suntex	s ʌ n t e k s
super	s j u p ʌ
Superior	s j u p i l i ʌ
superman	s j u p ʌ m ɛ n
Superman	s j u p ʌ m ɛ n
supermarket	s j u p ʌ m a k e t
superscalar	s j u p ʌ s k a l l a
superspecial	s j u p ʌ s p e s ʌ l
supervisor	s j u p ʌ b a i d ʌ
Supply	s ʌ p l l a i
Surabaya	s u l a b a j a
surfing	s ʌ p i ŋ
Surfside	s ʌ p s a i d
Surgoinsville	s ʌ g o i n s b i l
Surprise	s ʌ p l a i d
Surrency	s ʌ l ʌ n s i
Surrey	s ʌ l i
Surry	s ʌ l i
survival	s ʌ b a i b ʌ l
Sussex	s ʌ s i k s
Sutherland	s ʌ d ʌ l l ɛ n d
Sutphen	s ʌ t p n
Sutter	s ʌ t ʌ
Suttle	s u t l
Sutton	s ʌ t ʌ n
Suwanee	s w a n i
Suwannee	s w a n i
Swainsboro	s w e i n s b ʌ l o
Swampscott	s w a m s k ʌ t
Swan	s w a n
Swansboro	s w a n s b ʌ l ʌ
Swansea	s w a n d i
Swanton	s w a n t ʌ n
Swanwick	s w a n i k
Swanzey	s w a n d i
Swayzee	s w i d i
Sweden	s w e d e n
Swedesburg	s w e d i s b ʌ g
Sweeden	s w i d n
Sweeny	s w i n i
sweet	s w i t
Sweet	s w i t w ʌ t ʌ
Sweetser	s w i t ʌ
Sweetwater	s w i t w ʌ t ʌ
Swenson	s w e n s n
Swift	s w i p t
swimming	s w i m i ŋ
swing	s w i ŋ
Swiss	s w i s
Swisshome	s w i s h o m
switch	s w i t i
Switchback	s w i t i b ɛ k
Switzer	s w i t ʌ
Switzerland	s w i t ʌ l l ɛ n d
swoln	s w ʌ l l n
Sycamore	s i k a m o ʌ
Sydney	s i d n i
syjet	s a i d e t
Sykesville	s a i k s b i l
Sylacauga	s i l l a k o g a
Sylva	s i l b a
Sylvan	s i l b ʌ n
Sylvania	s i l b e n i a
Sylvester	s i l b e s t ʌ
Sylvia	s i l b i a
symbol	s i m b ʌ l
Symco	s i m k o
Symonds	s a i m ʌ n d
symposium	s i m p o d i u m
synagogue	s i n a g o g
sync	s i ŋ k
syndrome	s i n d l o m
synergy	s i n ʌ d i
Syracuse	s i l a k j u s
Syre	s a i ʌ
Syria	s i l i a
syrup	s i l ʌ p
SYSOP	s i s o p
system	s i s t e m
t	t i
Tabb	t ɛ b
Tabernacle	t a b ʌ n a k l
table	t e i b l
Tablet	t ɛ b l l i t
Tacoma	t ʌ k o m a
Taconite	t a k o n a i t
Tadoussac	t a d u s a k
Taejoon	t ɛ d u n
Taft	t ɛ p t
Tag	t ɛ g
Taggart	t ɛ g a t
Tague	t ɛ g j u
Tahlequah	t a l l e k w a
Taichung	t a i d u ŋ
Taif	t a i p
Taihape	t a i h a p e
Tainter	t e i n t ʌ
Taipei	t a i p e i
Tajikistan	t a d i k i s t a n
Takaka	t a k a k a
Takamatsu	t a k a m a s
Talala	t a l l a l l a
Talbot	t ɛ l b ʌ t
Talcott	t ɛ l k ʌ t
Talent	t ɛ l l ʌ n t
talk	t o k
Talladega	t a l l e d i g a
Tallahassee	t ɛ l l ʌ h ɛ s i
Tallassee	t ɛ l l ʌ s i
Tallinn	t a l l i n
Tallmadge	t o l m a d i
Tallulah	t a l l u l l a
Talmadge	t a l m ɛ d i
Talmage	t ɛ l m e i d
Talmo	t a l m o
Taloga	t a l l o g a
Tama	t a m a
Tamaha	t a m a h a
Tamarac	t a m a l a k
Tamarack	t a m a l a k
Tambo	t ɛ m b o
Tamina	t a m i n a
Tamora	t a m o l a
Tampa	t ɛ m p a
Tampico	t a m p i k o
Tams	t ɛ m s
Tamworth	t ɛ m w ʌ s
Tanana	t a n a n a
Taneytown	t ɛ n i t a u n
Tangalooma	t a ŋ g a l l u m a
Tangent	t ɛ n d ʌ n t
Tangier	t a ŋ h e l
tango	t ɛ ŋ g o
tank	t ɛ ŋ k
Tanner	t e n ʌ
Tannery	t ɛ n ʌ l i
Tanzania	t a n d a n i a
Taopi	t a o p i
Taos	t a o s
Tappahannock	t ɛ p ʌ h ɛ n o k
Tappen	t ɛ p n
Tara	t a l a
Taranaki	t a l a n a k i
Tarboro	t a b ʌ l ʌ
Tarkio	t a k i o
tarp	t a p
Tarrant	t ɛ l ʌ n t
Tarrytown	t ɛ l i t a u n
Tarsus	t a l s u s
Tashkent	t a s w i k e n t
task	t ɛ s k
Taswell	t ɛ d w ʌ l
Tate	t e i t
Tatums	t e i t ʌ m s
Taunton	t o n t ʌ n
Taupo	t a u p o
Tauranga	t a u l a ŋ g a
Tavares	t a b a l e s
Tawau	t a w a u
Tawawa	t a w a w a
taxi	t ɛ k s i
Taycheedah	t e i t i d a
Tayloe	t e i l l o
Taylor	t e i l l ʌ
Taylorsville	t e i l l ʌ s b i l
Taylorville	t e i l l ʌ b i l
Tbilisi	t b i l l i s i
Teachey	t i t i
Teague	t i g
team	t i m
Teasdale	t i d d e i l
Teays	t i i s
Tebbetts	t e b e t
Tecate	t e k a t e
tech	t e k
technetium	t e k n e t j u m
Tecumseh	t e k ʌ m s i
ted	t e d
Teddy	t e d i
Tedrow	t e d l o
Teer	t i ʌ
Teeterville	t i t ʌ b i l
Tehachapi	t e h a t a p i
Tehama	t e h a m a
Teheran	t e h e l a n
Teigen	t i g ʌ n
telebanking	t e l l e b ɛ ŋ k i ŋ
telegram	t e l l e g l ɛ m
Telematics	t e l l e m ɛ t i k s
telephone	t e l l e p o n
Telephone	t e l l e p o n
teleport	t e l l e p o t
television	t e l l e b i d ʌ n
Telford	t e l p ʌ d
Tell	t e l
Teller	t e l l ʌ
Telluride	t e l l j u l a i d
Temecula	t e m e k j u l l a
Tempe	t e m p i
Temperanceville	t e m p ʌ l ʌ n s b i l
template	t e m p l l i t
Temple	t e m p l
Templeton	t e m p l t ʌ n
Templeville	t ɛ m p l b i l
ten	t e n
Tenino	t e n i n o
Tennant	t e n ʌ n t
Tennessee	t e n e s i
Tenney	t e n i
Tennille	t e n i l
tennis	t e n i s
Tennyson	t e n i s n
Tensaw	t e n s o
Tensed	t e n s t
tensor	t e n s ʌ
TensorFlow	t e n s ʌ p l l o u
Tenstrike	t e n s t l a i k
tent	t e n t
terabit	t e l a b i t
terbium	t e l b j u m
Teresita	t e l e s i t a
terminal	t ʌ m i n ʌ l
Termo	t ʌ m o
Terrace	t e l a s
Terrell	t e l ʌ l
Terril	t e l i l
terror	t e l ʌ
terrorism	t e l ʌ l i d m
Terry	t e l i
Tesla	t e s l l a
TeslaUnread	t e s l l a ʌ l l i d
test	t e s t
testosterone	t e s t o s t e l o n
tethering	t e d ʌ l i ŋ
Teton	t i t ʌ n
Tetris	t e t l i s
Tewksbury	t ʌ k s b e l i
Texarkana	t e k s a k a n a
Texas	t e k s a s
